year,month,day,hour,DateTime,IE_Wind_Generation
2014,1,1,0,2014-01-01T00:00:00Z,976.7675
2014,1,1,1,2014-01-01T01:00:00Z,914.1375
2014,1,1,2,2014-01-01T02:00:00Z,938.5625
2014,1,1,3,2014-01-01T03:00:00Z,911.205
2014,1,1,4,2014-01-01T04:00:00Z,914.7675
2014,1,1,5,2014-01-01T05:00:00Z,923.8825
2014,1,1,6,2014-01-01T06:00:00Z,997.6025
2014,1,1,7,2014-01-01T07:00:00Z,945.6175
2014,1,1,8,2014-01-01T08:00:00Z,789.8625
2014,1,1,9,2014-01-01T09:00:00Z,657.46
2014,1,1,10,2014-01-01T10:00:00Z,613.4225
2014,1,1,11,2014-01-01T11:00:00Z,675.4475
2014,1,1,12,2014-01-01T12:00:00Z,816.3875
2014,1,1,13,2014-01-01T13:00:00Z,774.745
2014,1,1,14,2014-01-01T14:00:00Z,721.04
2014,1,1,15,2014-01-01T15:00:00Z,655.8025
2014,1,1,16,2014-01-01T16:00:00Z,684.2425
2014,1,1,17,2014-01-01T17:00:00Z,780.895
2014,1,1,18,2014-01-01T18:00:00Z,672.4925
2014,1,1,19,2014-01-01T19:00:00Z,687.315
2014,1,1,20,2014-01-01T20:00:00Z,746.705
2014,1,1,21,2014-01-01T21:00:00Z,816.6675
2014,1,1,22,2014-01-01T22:00:00Z,758.255
2014,1,1,23,2014-01-01T23:00:00Z,681.52
2014,1,2,0,2014-01-02T00:00:00Z,710.735
2014,1,2,1,2014-01-02T01:00:00Z,764.1225
2014,1,2,2,2014-01-02T02:00:00Z,726.15
2014,1,2,3,2014-01-02T03:00:00Z,788.7325
2014,1,2,4,2014-01-02T04:00:00Z,839.2075
2014,1,2,5,2014-01-02T05:00:00Z,892.1425
2014,1,2,6,2014-01-02T06:00:00Z,951.8525
2014,1,2,7,2014-01-02T07:00:00Z,934.8325
2014,1,2,8,2014-01-02T08:00:00Z,908.9525
2014,1,2,9,2014-01-02T09:00:00Z,821.975
2014,1,2,10,2014-01-02T10:00:00Z,745.6425
2014,1,2,11,2014-01-02T11:00:00Z,804.2525
2014,1,2,12,2014-01-02T12:00:00Z,838.535
2014,1,2,13,2014-01-02T13:00:00Z,958.0475
2014,1,2,14,2014-01-02T14:00:00Z,1030.5325
2014,1,2,15,2014-01-02T15:00:00Z,1209.7375
2014,1,2,16,2014-01-02T16:00:00Z,1385.8225
2014,1,2,17,2014-01-02T17:00:00Z,1458.7925
2014,1,2,18,2014-01-02T18:00:00Z,1491.795
2014,1,2,19,2014-01-02T19:00:00Z,1551.235
2014,1,2,20,2014-01-02T20:00:00Z,1497.4225
2014,1,2,21,2014-01-02T21:00:00Z,1383.7675
2014,1,2,22,2014-01-02T22:00:00Z,1306.565
2014,1,2,23,2014-01-02T23:00:00Z,1339.9075
2014,1,3,0,2014-01-03T00:00:00Z,1415.57
2014,1,3,1,2014-01-03T01:00:00Z,1398.9925
2014,1,3,2,2014-01-03T02:00:00Z,1329.895
2014,1,3,3,2014-01-03T03:00:00Z,1236.315
2014,1,3,4,2014-01-03T04:00:00Z,1227.7175
2014,1,3,5,2014-01-03T05:00:00Z,1287.74
2014,1,3,6,2014-01-03T06:00:00Z,1336.985
2014,1,3,7,2014-01-03T07:00:00Z,1370.36
2014,1,3,8,2014-01-03T08:00:00Z,1352.455
2014,1,3,9,2014-01-03T09:00:00Z,1379.8975
2014,1,3,10,2014-01-03T10:00:00Z,1398.2625
2014,1,3,11,2014-01-03T11:00:00Z,1434.9
2014,1,3,12,2014-01-03T12:00:00Z,1437.195
2014,1,3,13,2014-01-03T13:00:00Z,1386.39
2014,1,3,14,2014-01-03T14:00:00Z,1272.51
2014,1,3,15,2014-01-03T15:00:00Z,1317.595
2014,1,3,16,2014-01-03T16:00:00Z,1317.1725
2014,1,3,17,2014-01-03T17:00:00Z,1367.26
2014,1,3,18,2014-01-03T18:00:00Z,1406.96
2014,1,3,19,2014-01-03T19:00:00Z,1384.79
2014,1,3,20,2014-01-03T20:00:00Z,1323.9575
2014,1,3,21,2014-01-03T21:00:00Z,1281.3275
2014,1,3,22,2014-01-03T22:00:00Z,1132.48
2014,1,3,23,2014-01-03T23:00:00Z,1031.615
2014,1,4,0,2014-01-04T00:00:00Z,913.3225
